일시,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),합계 일조시간(hr),합계 일사량(MJ/m2),평균 전운량(1/10)
2016-01-01,0.5333333333333333,-5.366666666666667,6.866666666666667,,0.8333333333333334,74.83333333333333,4.6000000000000005,8.355,5.55
2016-01-02,5.433333333333334,0.5666666666666667,12.299999999999999,,0.9333333333333332,72.46666666666667,6.166666666666667,6.76,5.699999999999999
2016-01-03,6.033333333333334,0.8333333333333334,13.066666666666668,,0.7666666666666666,79.89999999999999,5.866666666666667,7.71,4.75
2016-01-04,4.3999999999999995,-1.1666666666666667,8.4,,1.8333333333333333,56.699999999999996,6.966666666666666,9.129999999999999,4.25
2016-01-05,-0.9333333333333332,-3.9,3.1333333333333333,,1.4000000000000001,40.73333333333333,4.833333333333333,7.55,4.25
2016-01-06,-0.6333333333333333,-6.433333333333334,4.5,,1.2666666666666666,57.86666666666667,3.966666666666667,6.99,7.05
2016-01-07,-0.6666666666666666,-3.733333333333333,3.1333333333333333,,1.9333333333333333,53.73333333333333,7.433333333333334,10.08,4.1
2016-01-08,-1.4666666666666668,-4.833333333333333,2.8333333333333335,0.0,1.4333333333333333,55.13333333333333,7.966666666666666,9.34,4.55
2016-01-09,0.7333333333333333,-3.133333333333333,5.3,0.0,1.2333333333333334,56.43333333333334,6.1000000000000005,8.934999999999999,7.15
2016-01-10,0.5666666666666667,-2.5,4.766666666666667,,1.2666666666666666,58.0,2.433333333333333,5.825,4.6
2016-01-11,-2.3333333333333335,-5.866666666666667,3.0,,1.2333333333333334,48.300000000000004,8.366666666666665,10.68,1.35
2016-01-12,-3.6666666666666665,-8.666666666666666,2.3333333333333335,,1.3333333333333333,54.333333333333336,8.5,11.19,1.85
2016-01-13,-2.0666666666666664,-5.3999999999999995,1.4333333333333333,0.3666666666666667,1.4333333333333333,74.13333333333334,3.8333333333333335,7.245,7.55
2016-01-14,-2.1666666666666665,-7.0,2.733333333333333,0.0,1.3666666666666665,52.300000000000004,8.033333333333333,11.025,3.25
2016-01-15,-0.6666666666666666,-5.3,5.666666666666667,,0.7999999999999999,66.66666666666667,6.2,8.725,3.8
2016-01-16,-0.19999999999999996,-5.533333333333334,7.166666666666667,,0.8333333333333334,68.0,5.2,8.26,3.8499999999999996
2016-01-17,1.2666666666666666,-2.033333333333333,5.566666666666666,3.1,0.9,79.3,0.0,3.49,9.3
2016-01-18,-3.9000000000000004,-9.533333333333333,1.366666666666667,2.5,2.9,76.33333333333333,3.133333333333333,5.4350000000000005,8.3
2016-01-19,-9.366666666666667,-11.833333333333334,-6.433333333333334,0.4000000000000001,3.3333333333333335,64.56666666666666,6.633333333333333,10.26,5.9
2016-01-20,-9.5,-13.833333333333334,-5.166666666666667,0.0,1.0666666666666667,62.833333333333336,6.3999999999999995,9.16,4.949999999999999
2016-01-21,-6.866666666666667,-10.866666666666667,-1.6666666666666667,,1.0666666666666667,60.800000000000004,5.066666666666666,8.649999999999999,4.699999999999999
2016-01-22,-6.566666666666666,-12.4,-0.8666666666666667,,1.1,53.63333333333333,7.333333333333333,11.28,4.65
2016-01-23,-8.799999999999999,-12.566666666666668,-5.266666666666667,0.95,2.8000000000000003,53.63333333333333,6.933333333333333,10.7,6.75
2016-01-24,-13.166666666666666,-17.166666666666668,-9.766666666666666,0.13333333333333333,1.8,61.43333333333334,6.466666666666666,8.76,4.35
2016-01-25,-8.5,-14.799999999999999,-2.9,0.05,0.9666666666666667,67.0,8.166666666666666,12.379999999999999,2.5
2016-01-26,-2.6666666666666665,-7.1000000000000005,2.6999999999999997,0.20000000000000004,0.7999999999999999,73.23333333333333,3.4,8.120000000000001,6.65
2016-01-27,-1.3,-6.533333333333334,5.1000000000000005,,0.7999999999999999,68.66666666666667,8.466666666666667,10.79,2.0
2016-01-28,-0.9666666666666667,-6.3,2.3666666666666667,0.10000000000000002,0.9333333333333332,69.03333333333335,0.10000000000000002,3.2649999999999997,8.350000000000001
2016-01-29,2.433333333333333,0.19999999999999998,5.066666666666666,1.3666666666666665,1.4333333333333333,75.26666666666667,0.0,3.055,9.65
2016-01-30,2.5,-1.5333333333333334,8.4,0.25,1.0333333333333334,73.0,4.833333333333333,9.865,5.65
2016-01-31,-2.066666666666667,-4.533333333333334,2.066666666666667,,1.7333333333333334,55.56666666666666,8.333333333333334,11.1,3.5
2016-02-01,-4.6,-8.1,0.39999999999999997,,1.8,49.0,9.299999999999999,13.89,0.9500000000000001
2016-02-02,-4.833333333333333,-10.6,1.7666666666666666,,1.1666666666666667,50.53333333333333,9.333333333333334,14.19,0.0
2016-02-03,-3.0,-10.366666666666667,4.333333333333333,,1.0333333333333334,58.13333333333333,9.133333333333333,13.355,0.45
2016-02-04,-0.9333333333333335,-6.6000000000000005,5.066666666666666,,1.5333333333333332,52.6,6.8999999999999995,10.969999999999999,2.7
2016-02-05,-1.4333333333333333,-6.666666666666667,4.333333333333333,,1.6333333333333335,46.0,9.366666666666667,13.29,1.25
2016-02-06,-2.4333333333333336,-5.966666666666666,2.5,0.0,1.7,47.199999999999996,9.333333333333334,13.955,1.25
2016-02-07,-3.4,-10.6,4.133333333333334,,0.9333333333333335,51.03333333333333,9.533333333333333,14.87,0.15
2016-02-08,1.5,-6.966666666666666,7.533333333333334,,1.8,54.0,7.400000000000001,11.105,5.35
2016-02-09,1.8333333333333333,-2.3333333333333335,6.8999999999999995,,2.6333333333333333,44.666666666666664,9.6,14.79,1.05
2016-02-10,2.066666666666667,-5.866666666666667,11.933333333333332,,0.7666666666666666,48.36666666666667,9.666666666666666,15.28,0.0
2016-02-11,6.233333333333333,-2.6666666666666665,13.566666666666668,0.13333333333333333,1.7333333333333334,43.6,3.766666666666667,9.14,6.3
2016-02-12,9.6,7.233333333333333,11.366666666666667,14.866666666666667,1.8,87.66666666666667,0.0,1.98,10.0
2016-02-13,12.1,8.233333333333333,18.066666666666666,8.700000000000001,1.5999999999999999,91.96666666666665,1.3333333333333333,6.26,9.7
2016-02-14,-0.6,-4.433333333333334,9.799999999999999,0.43333333333333335,3.3666666666666667,73.2,1.9000000000000001,5.09,8.8
2016-02-15,-4.1000000000000005,-7.3999999999999995,-0.6666666666666666,0.03333333333333333,2.9333333333333336,55.73333333333333,8.633333333333333,16.055,3.55
2016-02-16,-0.9666666666666667,-4.133333333333334,3.366666666666667,0.7000000000000001,1.9333333333333333,72.36666666666666,3.5,8.89,6.3
2016-02-17,0.3333333333333333,-5.366666666666667,6.266666666666667,,1.4666666666666668,55.333333333333336,9.766666666666667,15.05,1.2
2016-02-18,2.8333333333333335,-3.9,9.4,0.0,1.4000000000000001,60.86666666666667,7.5,11.585,4.5
