lead_time,model_name,threshold,accuracy,precision,recall,f1,roc_auc,pr_auc,balanced_accuracy,tn,fp,fn,tp
T+1,RandomForest,0.05,0.9488584474885845,0.839541547277937,1.0,0.9127725856697819,0.999455286697931,0.9986929664689468,0.9650872817955112,746,56,0,293
T+1,RandomForest,0.06,0.9525114155251142,0.8513119533527697,0.9965870307167235,0.9182389937106918,0.999455286697931,0.9986929664689468,0.9664980041364166,751,51,1,292
T+1,RandomForest,0.07,0.9561643835616438,0.8635014836795252,0.9931740614334471,0.9238095238095239,0.999455286697931,0.9986929664689468,0.9679087264773221,756,46,2,291
T+1,RandomForest,0.08,0.9616438356164384,0.879154078549849,0.9931740614334471,0.9326923076923077,0.999455286697931,0.9986929664689468,0.9716493748563744,762,40,2,291
T+1,RandomForest,0.09,0.9634703196347032,0.8844984802431611,0.9931740614334471,0.9356913183279743,0.999455286697931,0.9986929664689468,0.9728962576493918,764,38,2,291
T+1,RandomForest,0.1,0.971689497716895,0.909375,0.9931740614334471,0.9494290375203915,0.999455286697931,0.9986929664689468,0.9785072302179705,773,29,2,291
T+1,RandomForest,0.11,0.9771689497716894,0.9267515923566879,0.9931740614334471,0.9588138385502472,0.999455286697931,0.9986929664689468,0.9822478785970228,779,23,2,291
T+1,RandomForest,0.12,0.9780821917808219,0.9297124600638977,0.9931740614334471,0.9603960396039604,0.999455286697931,0.9986929664689468,0.9828713199935315,780,22,2,291
T+1,RandomForest,0.13,0.9808219178082191,0.9387096774193548,0.9931740614334471,0.9651741293532339,0.999455286697931,0.9986929664689468,0.9847416441830577,783,19,2,291
T+1,RandomForest,0.14,0.9817351598173516,0.941747572815534,0.9931740614334471,0.9667774086378738,0.999455286697931,0.9986929664689468,0.9853650855795664,784,18,2,291
T+1,RandomForest,0.15,0.982648401826484,0.9448051948051948,0.9931740614334471,0.9683860232945092,0.999455286697931,0.9986929664689468,0.9859885269760752,785,17,2,291
T+1,RandomForest,0.16,0.9835616438356164,0.9508196721311475,0.9897610921501706,0.9698996655518395,0.999455286697931,0.9986929664689468,0.9855289251274544,787,15,3,290
T+1,RandomForest,0.17,0.9853881278538813,0.9570957095709571,0.9897610921501706,0.9731543624161074,0.999455286697931,0.9986929664689468,0.9867758079204718,789,13,3,290
T+1,RandomForest,0.18,0.9881278538812786,0.9666666666666667,0.9897610921501706,0.9780775716694773,0.999455286697931,0.9986929664689468,0.988646132109998,792,10,3,290
