lead_time,best_model,rank,feature,mean_abs_shap,direction_summary,operational_meaning
T+3,XGBoost,11,총방류량(㎥/s),0.19460895657539368,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+3,XGBoost,12,log_cyano_roll7_max,0.19112832844257355,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+3,XGBoost,13,취수량2,0.18876703083515167,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+3,XGBoost,14,취수량1,0.1524307131767273,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+3,XGBoost,15,log_cyano_lag3,0.14698705077171326,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+3,XGBoost,16,chla_lag7,0.14337210357189178,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+3,XGBoost,17,chla_lag1,0.13806277513504028,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+3,XGBoost,18,chla_lag14,0.13759173452854156,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+3,XGBoost,19,평균기온(°C),0.13330987095832825,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+3,XGBoost,20,chla_roll7,0.12659838795661926,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+3,XGBoost,21,flow_balance,0.12488173693418503,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+3,XGBoost,22,pH,0.12300032377243042,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+3,XGBoost,23,log_cyano_roll14,0.11991895735263824,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+3,XGBoost,24,flow_balance_7d,0.11215446889400482,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+3,XGBoost,25,chla_lag3,0.10061464458703995,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+3,XGBoost,26,일조시간 합계(hr),0.09833241999149323,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+3,XGBoost,27,평균 상대습도(%),0.09474080801010132,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+3,XGBoost,28,평균 풍속(m/s),0.08873409032821655,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+3,XGBoost,29,water_temp_mean_3d,0.08746927231550217,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+3,XGBoost,30,예년강수량,0.08671000599861145,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+7,XGBoost,1,log_cyano,2.9664039611816406,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+7,XGBoost,2,doy_sin,0.6664663553237915,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+7,XGBoost,3,탁도,0.5873989462852478,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+7,XGBoost,4,doy_cos,0.442989706993103,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+7,XGBoost,5,log_cyano_lag1,0.3801904022693634,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+7,XGBoost,6,취수량2,0.25263890624046326,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+7,XGBoost,7,연도,0.24327372014522552,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+7,XGBoost,8,month_sin,0.21360410749912262,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+7,XGBoost,9,log_cyano_roll7_max,0.20942901074886322,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+7,XGBoost,10,log_cyano_lag7,0.2059948742389679,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+7,XGBoost,11,최저기온(°C),0.1914411038160324,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+7,XGBoost,12,수온(℃),0.1894470751285553,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+7,XGBoost,13,hoenam_log_cyano_lag7,0.1673392951488495,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+7,XGBoost,14,총방류량(㎥/s),0.14703965187072754,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+7,XGBoost,15,hoenam_log_cyano_lag10,0.13625653088092804,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+7,XGBoost,16,DO(㎎/L),0.13283030688762665,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+7,XGBoost,17,평균기온(°C),0.13013345003128052,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+7,XGBoost,18,Chl-a (㎎/㎥),0.12390512973070145,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+7,XGBoost,19,log_cyano_roll7,0.12187456339597702,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+7,XGBoost,20,rain_sum_14d,0.12183225899934769,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+7,XGBoost,21,chla_lag1,0.11763183027505875,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+7,XGBoost,22,flow_balance_7d,0.11290249228477478,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+7,XGBoost,23,채수위치_추동,0.10949752479791641,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+7,XGBoost,24,chla_lag10,0.10165317356586456,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+7,XGBoost,25,수위(EL.m),0.09988751262426376,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+7,XGBoost,26,전년저수위,0.09964469820261002,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+7,XGBoost,27,dayofyear,0.09567132592201233,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+7,XGBoost,28,hoenam_log_cyano_lag14,0.09404703229665756,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+7,XGBoost,29,water_temp_lag7,0.09171631187200546,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
