lead_time,best_model,selection_metric,model_file,accuracy,precision,recall,f1,roc_auc,pr_auc,balanced_accuracy,threshold,tn,fp,fn,tp
T+1,XGBoost,test_pr_auc_then_f1,outputs\modeling\models\best_model_Tplus1_XGBoost.pkl,0.9922374429223745,0.9838235294117647,0.9911111111111112,0.9874538745387453,0.9998259381493705,0.9996174832249627,0.9919251925192519,0.49,1504,11,6,669
T+3,LightGBM,test_pr_auc_then_f1,outputs\modeling\models\best_model_Tplus3_LightGBM.pkl,0.9821428571428571,0.9760479041916168,0.965925925925926,0.9709605361131795,0.9987826129641901,0.9973553526692052,0.9776614387747589,0.55,1493,16,23,652
T+7,LightGBM,test_pr_auc_then_f1,outputs\modeling\models\best_model_Tplus7_LightGBM.pkl,0.9534990791896869,0.9689542483660131,0.8785185185185185,0.9215229215229215,0.9955674311586136,0.9899802300668303,0.9329132338751577,0.92,1478,19,82,593
T+10,XGBoost,test_pr_auc_then_f1,outputs\modeling\models\best_model_Tplus10_XGBoost.pkl,0.9676375404530745,0.9675425038639877,0.9274074074074075,0.9470499243570348,0.9945808442851454,0.9860144167039799,0.9566472520908005,0.6,1467,21,49,626
