experiment,lead_time,model_name,dataset,threshold,n_samples,positive_rate,accuracy,precision,recall,f1,roc_auc,pr_auc,balanced_accuracy,tn,fp,fn,tp
env_no_chla,T+1,RandomForest,test,0.31,2190,0.3082191780821918,0.8936073059360731,0.9911111111111112,0.6607407407407407,0.7928888888888889,0.9812565701014546,0.96512409408716,0.8290502383571691,1511,4,229,446
env_no_chla,T+1,XGBoost,test,0.05,2190,0.3082191780821918,0.9401826484018265,0.9473684210526315,0.8533333333333334,0.8978955572876072,0.9808228822882288,0.9650560567170596,0.9161056105610561,1483,32,99,576
env_no_chla,T+1,LightGBM,test,0.06,2190,0.3082191780821918,0.8853881278538813,0.9669603524229075,0.6503703703703704,0.7776793622674933,0.9768967118934115,0.9495970471924344,0.8202346901356803,1500,15,236,439
env_no_chla,T+10,XGBoost,test,0.38,2163,0.3120665742024965,0.893666204345816,0.9847494553376906,0.6696296296296296,0.7971781305114638,0.9882039028275588,0.9744023862054944,0.8324626642771804,1481,7,223,452
env_no_chla,T+10,RandomForest,test,0.23,2163,0.3120665742024965,0.9181692094313454,0.9527272727272728,0.7762962962962963,0.8555102040816327,0.9850637196336121,0.9681045342265298,0.8794115890083631,1462,26,151,524
env_no_chla,T+10,LightGBM,test,0.15,2163,0.3120665742024965,0.8700878409616274,0.9624413145539906,0.6074074074074074,0.7447774750227066,0.9829669454400637,0.958958084140517,0.7983273596176822,1472,16,265,410
env_no_chla,T+3,XGBoost,test,0.21,2184,0.3090659340659341,0.9134615384615384,0.9783464566929134,0.7362962962962963,0.8402366863905325,0.9833232702550132,0.9680673330352701,0.8645033502687578,1498,11,178,497
env_no_chla,T+3,RandomForest,test,0.3,2184,0.3090659340659341,0.8855311355311355,0.9953379953379954,0.6325925925925926,0.7735507246376812,0.9800147264560783,0.9651606092162319,0.8156336057727708,1507,2,248,427
env_no_chla,T+3,LightGBM,test,0.06,2184,0.3090659340659341,0.8928571428571429,0.954639175257732,0.6859259259259259,0.7982758620689655,0.9783550548560489,0.9492308177193204,0.8356733672041823,1487,22,212,463
env_no_chla,T+7,XGBoost,test,0.23,2172,0.31077348066298344,0.9267955801104972,0.9777777777777777,0.7822222222222223,0.8691358024691358,0.9881738786214403,0.9759247676864234,0.887103095079047,1485,12,147,528
env_no_chla,T+7,LightGBM,test,0.33,2172,0.31077348066298344,0.8664825046040515,0.9948586118251928,0.5733333333333334,0.7274436090225563,0.9868170909720675,0.9726891577197156,0.785998663994656,1495,2,288,387
env_no_chla,T+7,RandomForest,test,0.33,2172,0.31077348066298344,0.8872007366482505,0.9886363636363636,0.6444444444444445,0.7802690582959642,0.9843677478413619,0.9681366718768107,0.8205522155421956,1492,5,240,435
