lead_time,best_model,accuracy,precision,recall,f1,roc_auc,pr_auc,balanced_accuracy,threshold,feature_policy
T+1,XGBoost,0.9237,0.9739,0.7733,0.8621,0.9859,0.971,0.882,0.13,exclude_total_cyano_and_harmful_cyano_features
T+3,RandomForest,0.9029,0.9853,0.6963,0.816,0.9848,0.9703,0.8458,0.33,exclude_total_cyano_and_harmful_cyano_features
T+7,XGBoost,0.907,0.9739,0.72,0.8279,0.9886,0.9748,0.8557,0.37,exclude_total_cyano_and_harmful_cyano_features
T+10,XGBoost,0.9242,0.9688,0.7822,0.8656,0.9912,0.9817,0.8854,0.26,exclude_total_cyano_and_harmful_cyano_features
