experiment,lead_time,model_name,dataset,threshold,n_samples,positive_rate,accuracy,precision,recall,f1,roc_auc,pr_auc,balanced_accuracy,tn,fp,fn,tp
env_with_chla,T+1,RandomForest,validation,0.34,1095,0.2447488584474886,0.9397260273972603,0.8768656716417911,0.8768656716417911,0.8768656716417911,0.9862432095868902,0.9619191541935136,0.9184812034146077,794,33,33,235
env_with_chla,T+1,RandomForest,test,0.34,2190,0.3082191780821918,0.8972602739726028,0.9891304347826086,0.674074074074074,0.801762114537445,0.9809597848673755,0.9652055386862278,0.8353868720205353,1510,5,220,455
env_with_chla,T+1,XGBoost,validation,0.13,1095,0.2447488584474886,0.947945205479452,0.8650519031141869,0.9328358208955224,0.8976660682226212,0.9880434586439025,0.9640102603512818,0.9428387085130574,788,39,18,250
env_with_chla,T+1,XGBoost,test,0.13,2190,0.3082191780821918,0.9237442922374429,0.9738805970149254,0.7733333333333333,0.8620974401321222,0.9859029458501406,0.9710251314631319,0.882046204620462,1501,14,153,522
env_with_chla,T+1,LightGBM,validation,0.06,1095,0.2447488584474886,0.94337899543379,0.8759124087591241,0.8955223880597015,0.8856088560885609,0.984059448826003,0.9500081104013423,0.9272049667021602,793,34,28,240
env_with_chla,T+1,LightGBM,test,0.06,2190,0.3082191780821918,0.9054794520547945,0.9552529182879378,0.7274074074074074,0.8259041211101766,0.9823160982764944,0.9601284573606702,0.8561129446277961,1492,23,184,491
env_with_chla,T+3,RandomForest,validation,0.33,1095,0.2447488584474886,0.9452054794520548,0.8795620437956204,0.8992537313432836,0.8892988929889298,0.9865274594379975,0.9615872702339378,0.929675233265354,794,33,27,241
env_with_chla,T+3,RandomForest,test,0.33,2184,0.3090659340659341,0.9029304029304029,0.9853249475890985,0.6962962962962963,0.8159722222222222,0.9847679355962988,0.9702743603662853,0.8458287313158088,1502,7,205,470
env_with_chla,T+3,XGBoost,validation,0.06,1095,0.2447488584474886,0.9406392694063926,0.8201892744479495,0.9701492537313433,0.8888888888888888,0.9865139237308018,0.9604779911708463,0.9506127163457201,770,57,8,260
env_with_chla,T+3,XGBoost,test,0.06,2184,0.3090659340659341,0.9336080586080586,0.9431438127090301,0.8355555555555556,0.8860958366064414,0.9851262793608717,0.9692393195801923,0.906512038877844,1475,34,111,564
env_with_chla,T+3,LightGBM,validation,0.06,1095,0.2447488584474886,0.9424657534246575,0.8451178451178452,0.9365671641791045,0.8884955752212389,0.9880524824486997,0.96598815444362,0.9404722157050298,781,46,17,251
env_with_chla,T+3,LightGBM,test,0.06,2184,0.3090659340659341,0.9125457875457875,0.9514925373134329,0.7555555555555555,0.8422791081750619,0.982010161254694,0.9581910339791925,0.8691628009719461,1483,26,165,510
env_with_chla,T+7,RandomForest,validation,0.4,1095,0.2447488584474886,0.9461187214611873,0.9446808510638298,0.8283582089552238,0.882703777335984,0.9844023534082911,0.9472185375597648,0.9063193704993773,814,13,46,222
env_with_chla,T+7,RandomForest,test,0.4,2172,0.31077348066298344,0.8839779005524862,0.9953161592505855,0.6296296296296297,0.7713248638838476,0.9841292461466143,0.9709002459269236,0.8141468121428042,1495,2,250,425
env_with_chla,T+7,XGBoost,validation,0.37,1095,0.2447488584474886,0.947945205479452,0.8481848184818482,0.9589552238805971,0.9001751313485113,0.9887337797108773,0.9658355599495029,0.9516662455557762,781,46,11,257
env_with_chla,T+7,XGBoost,test,0.37,2172,0.31077348066298344,0.9069981583793738,0.9739478957915831,0.72,0.82793867120954,0.9886449442094064,0.9748291513850766,0.8556579826319305,1484,13,189,486
env_with_chla,T+7,LightGBM,validation,0.22,1095,0.2447488584474886,0.9333333333333333,0.8735632183908046,0.8507462686567164,0.8620037807183365,0.982349437816961,0.9512735914380999,0.9054215019220704,794,33,40,228
env_with_chla,T+7,LightGBM,test,0.22,2172,0.31077348066298344,0.8812154696132597,0.9727891156462585,0.6355555555555555,0.7688172043010753,0.9872624260867414,0.9702449105441538,0.8137697617457136,1485,12,246,429
env_with_chla,T+10,RandomForest,validation,0.37,1095,0.2447488584474886,0.9406392694063926,0.8918918918918919,0.8619402985074627,0.8766603415559773,0.9803551769568122,0.9287942517059993,0.9140414914544568,799,28,37,231
env_with_chla,T+10,RandomForest,test,0.37,2163,0.3120665742024965,0.8876560332871013,0.9821428571428571,0.6518518518518519,0.7836153161175423,0.9850995619275189,0.9698775199151954,0.8232377538829152,1480,8,235,440
env_with_chla,T+10,XGBoost,validation,0.26,1095,0.2447488584474886,0.9360730593607306,0.8214285714285714,0.9440298507462687,0.8784722222222222,0.9839601869732353,0.9488167206588142,0.938762204695988,772,55,15,253
env_with_chla,T+10,XGBoost,test,0.26,2163,0.3120665742024965,0.9241793804900601,0.9688073394495413,0.7822222222222223,0.8655737704918033,0.9912425328554362,0.9816638676361105,0.8853987455197132,1471,17,147,528
env_with_chla,T+10,LightGBM,validation,0.29,1095,0.2447488584474886,0.9424657534246575,0.9218106995884774,0.835820895522388,0.8767123287671232,0.9804905340287678,0.9429567046264912,0.9064231442545434,808,19,44,224
env_with_chla,T+10,LightGBM,test,0.29,2163,0.3120665742024965,0.8816458622283865,0.9816091954022989,0.6325925925925926,0.7693693693693694,0.9864914376742334,0.970384092516782,0.8136081242532855,1480,8,248,427
env_no_chla,T+1,RandomForest,validation,0.31,1095,0.2447488584474886,0.9397260273972603,0.8713235294117647,0.8843283582089553,0.8777777777777778,0.9842128535075529,0.9569123829752638,0.9210033568553846,792,35,31,237
env_no_chla,T+1,RandomForest,test,0.31,2190,0.3082191780821918,0.8936073059360731,0.9911111111111112,0.6607407407407407,0.7928888888888889,0.9812565701014546,0.96512409408716,0.8290502383571691,1511,4,229,446
env_no_chla,T+1,XGBoost,validation,0.05,1095,0.2447488584474886,0.9305936073059361,0.7944785276073619,0.9664179104477612,0.8720538720538721,0.9836849609269251,0.9522218881359814,0.9427010954899023,760,67,9,259
