lead_time,best_model,rank,feature,mean_abs_shap
T+10,XGBoost,8,chla_roll14,0.2607984244823456
T+10,XGBoost,9,water_temp_mean_3d,0.23858311772346497
T+10,XGBoost,10,water_temp_lag14,0.23024138808250427
T+10,XGBoost,11,air_temp_mean_7d,0.21870030462741852
T+10,XGBoost,12,취수량2,0.20214304327964783
T+10,XGBoost,13,채수위치_추동,0.18333998322486877
T+10,XGBoost,14,pH,0.1781119555234909
T+10,XGBoost,15,Chl-a (㎎/㎥),0.15665516257286072
T+10,XGBoost,16,doy_cos,0.15567392110824585
T+10,XGBoost,17,DO(㎎/L),0.1543060541152954
T+10,XGBoost,18,수위(EL.m),0.1506538838148117
T+10,XGBoost,19,HRT_14d,0.11478175967931747
T+10,XGBoost,20,chla_lag14,0.10779262334108353
T+10,XGBoost,21,water_temp_mean_7d,0.09302248060703278
T+10,XGBoost,22,flow_balance_14d,0.0811324268579483
T+10,XGBoost,23,water_temp_lag7,0.0667053610086441
T+10,XGBoost,24,예년저수위,0.06667204946279526
T+10,XGBoost,25,rain_sum_14d,0.06291688233613968
T+10,XGBoost,26,flow_balance_7d,0.05511688068509102
T+10,XGBoost,27,취수량3,0.054543860256671906
T+10,XGBoost,28,전년저수위,0.05321437492966652
T+10,XGBoost,29,water_temp_lag10,0.050231125205755234
T+10,XGBoost,30,총방류량(㎥/s),0.04841158911585808
