lag_days,pearson_r,spearman_r
-14,0.5788261833311782,0.5697937913147664
-13,0.583069795674601,0.5742271056160014
-12,0.5876859414671719,0.5781951086365588
-11,0.5926018540515167,0.5830308998412038
-10,0.5973256786417401,0.587857710801508
-9,0.601886319909906,0.5926565903453803
-8,0.6062413850610995,0.5974622712400605
-7,0.6099861466566721,0.6018136374741183
-6,0.613515559397221,0.605553723434441
-5,0.6170651285996804,0.6093509744288098
-4,0.6208640415754632,0.6132011426401242
-3,0.6239596221401056,0.6163729378935857
-2,0.6263115772181512,0.6192146973995021
-1,0.6284466262309367,0.6220419727727762
0,0.6300909962202694,0.6239169605031828
1,0.6303085055178429,0.623804798088274
2,0.6302357377696431,0.6233759728155387
3,0.6292797032036986,0.6214893334431877
4,0.6278392494336866,0.6198048714262102
5,0.6262424056169202,0.6184329027476302
6,0.6241509379059828,0.6163252916201957
7,0.6216337382153554,0.6140320405715459
8,0.6193524671693724,0.6113588586631865
9,0.6175112684935944,0.6080137145700926
10,0.6157474641117414,0.605188619879181
11,0.613259467596949,0.6022623066086494
12,0.6100332205660347,0.5983938084792506
13,0.6066601665993856,0.5950349665612071
14,0.6024500395635748,0.590938200326191
15,0.5981389387670434,0.5872208248051407
16,0.593009193054357,0.5830711521669296
17,0.5869727599361936,0.5783560044724821
18,0.5808024674672134,0.5733337546270958
19,0.5746557549187211,0.5678664321562924
20,0.5686138263843524,0.5628743782235267
21,0.5625938965913497,0.5571805910445216
22,0.5566310943875656,0.5513253499998977
23,0.5497982101496135,0.544748819238982
24,0.5417121132225459,0.5373542083365197
25,0.5327816758349544,0.5297808120058705
26,0.5240489897058752,0.5226166302675159
27,0.5163466272493014,0.5154389912530204
28,0.5093496956904033,0.5088506091466308
29,0.502043467590674,0.5011564785373278
30,0.4943992513273182,0.49342307323750395
31,0.4865882579080851,0.48608377919705953
32,0.4785430224158858,0.47889780094924106
33,0.47020729279772705,0.4714763589941466
34,0.46194669172937186,0.46411694160259276
35,0.4535043792873066,0.45610891072715665
36,0.44517318990714577,0.448846465832043
37,0.4369745285468153,0.44169023620876247
38,0.4276847529875181,0.43382833287166583
39,0.4176393983897165,0.4258167016125695
40,0.40744215426380304,0.41756547750771333
41,0.3988239676522814,0.410065591811537
42,0.39172167685615245,0.4034215395359549
43,0.38518457761887986,0.39711801707720823
44,0.378823874911602,0.3903774550271295
45,0.37220685394294506,0.3843220855803766
